transaction_id,transaction_date,reporting_month,transaction_type,cost_centre,actual_amount,budget_amount,source_file
TXN-00177,2026-02-10,2026-02,Cost,Sales & Marketing,-10230,-10906.57,finance_2026_02.csv
TXN-00178,2026-02-07,2026-02,Cost,General & Admin,-12215,-11327.74,finance_2026_02.csv
TXN-00179,2026-02-06,2026-02,Cost,General & Admin,-10833,-10367.93,finance_2026_02.csv
TXN-00180,2026-02-04,2026-02,Cost,People,-6489,-6833.52,finance_2026_02.csv
TXN-00181,2026-02-26,2026-02,Cost,Operations,-13615,-13643.76,finance_2026_02.csv
TXN-00182,2026-02-23,2026-02,Cost,General & Admin,-13188,-12712.09,finance_2026_02.csv
TXN-00183,2026-02-20,2026-02,Cost,Operations,-4597,-4938.02,finance_2026_02.csv
TXN-00184,2026-02-24,2026-02,Cost,Operations,-14118,-13327.93,finance_2026_02.csv
TXN-00185,2026-02-23,2026-02,Cost,Operations,-3219,-3330.35,finance_2026_02.csv
TXN-00186,2026-02-01,2026-02,Cost,General & Admin,-4527,-4486.6,finance_2026_02.csv
TXN-00187,2026-02-25,2026-02,Cost,Operations,-6432,-6678.64,finance_2026_02.csv
TXN-00188,2026-02-23,2026-02,Cost,Operations,-11656,-11954.37,finance_2026_02.csv
TXN-00189,2026-02-18,2026-02,Cost,General & Admin,-12495,-12979.02,finance_2026_02.csv
TXN-00190,2026-02-18,2026-02,Cost,Sales & Marketing,-14733,-13873.32,finance_2026_02.csv
TXN-00191,2026-02-25,2026-02,Cost,Sales & Marketing,-2948,-2716.07,finance_2026_02.csv
TXN-00192,2026-02-20,2026-02,Cost,General & Admin,-8814,-8833.54,finance_2026_02.csv
TXN-00193,2026-02-25,2026-02,Cost,Sales & Marketing,-5775,-6101.18,finance_2026_02.csv
TXN-00194,2026-02-21,2026-02,Cost,Operations,-5727,-5313.84,finance_2026_02.csv
TXN-00195,2026-02-14,2026-02,Cost,People,-6338,-5892.96,finance_2026_02.csv
TXN-00196,2026-02-17,2026-02,Cost,Technology,-5583,-5250.32,finance_2026_02.csv
TXN-00197,2026-02-15,2026-02,Cost,People,-7757,-7793.63,finance_2026_02.csv
TXN-00198,2026-02-21,2026-02,Cost,General & Admin,-12143,-11433.64,finance_2026_02.csv
TXN-00199,2026-02-25,2026-02,Cost,Operations,-7545,-7392.18,finance_2026_02.csv
TXN-00200,2026-02-13,2026-02,Cost,Technology,-3910,-4161.28,finance_2026_02.csv
TXN-00201,2026-02-12,2026-02,Cost,Operations,-5618,-5755.66,finance_2026_02.csv
TXN-00202,2026-02-07,2026-02,Cost,Technology,-9016,-9616.05,finance_2026_02.csv
TXN-00203,2026-02-01,2026-02,Cost,General & Admin,-12628,-13394.15,finance_2026_02.csv
TXN-00204,2026-02-28,2026-02,Cost,Technology,-8986,-8422.2,finance_2026_02.csv
TXN-00205,2026-02-09,2026-02,Cost,Operations,-12560,-11961.3,finance_2026_02.csv
TXN-00206,2026-02-08,2026-02,Cost,Sales & Marketing,-12227,-11451.71,finance_2026_02.csv
TXN-00207,2026-02-25,2026-02,Cost,General & Admin,-12715,-12428.75,finance_2026_02.csv
TXN-00208,2026-02-16,2026-02,Cost,Technology,-8953,-8574.73,finance_2026_02.csv
TXN-00209,2026-02-22,2026-02,Cost,Technology,-4640,-4531.79,finance_2026_02.csv
TXN-00210,2026-02-09,2026-02,Cost,Operations,-11634,-11253.8,finance_2026_02.csv
TXN-00211,2026-02-17,2026-02,Cost,Operations,-7574,-7895.63,finance_2026_02.csv
TXN-00212,2026-02-03,2026-02,Cost,Sales & Marketing,-6077,-6491.96,finance_2026_02.csv
TXN-00213,2026-02-01,2026-02,Cost,General & Admin,-2882,-2652.24,finance_2026_02.csv
TXN-00214,2026-02-25,2026-02,Cost,Technology,-6808,-7168.85,finance_2026_02.csv
TXN-00215,2026-02-13,2026-02,Cost,People,-3454,-3646.99,finance_2026_02.csv
TXN-00216,2026-02-27,2026-02,Cost,Sales & Marketing,-14081,-14055.44,finance_2026_02.csv
TXN-00217,2026-02-22,2026-02,Cost,Operations,-8563,-8758.78,finance_2026_02.csv
TXN-00218,2026-02-22,2026-02,Cost,People,-10116,-10423.39,finance_2026_02.csv
TXN-00219,2026-02-24,2026-02,Cost,General & Admin,-9396,-10072.88,finance_2026_02.csv
TXN-00220,2026-02-20,2026-02,Cost,Sales & Marketing,-6434,-6754.15,finance_2026_02.csv
TXN-00221,2026-02-25,2026-02,Cost,Operations,-8838,-8208.26,finance_2026_02.csv
TXN-00222,2026-02-06,2026-02,Cost,People,-8437,-7848.71,finance_2026_02.csv
TXN-00223,2026-02-22,2026-02,Cost,Sales & Marketing,-5082,-4977.27,finance_2026_02.csv
TXN-00224,2026-02-14,2026-02,Cost,Operations,-2776,-2717.81,finance_2026_02.csv
TXN-00225,2026-02-15,2026-02,Cost,Operations,-7664,-7842.35,finance_2026_02.csv
TXN-00226,2026-02-15,2026-02,Cash Flow,People,6579,7161.91,finance_2026_02.csv
TXN-00227,2026-02-15,2026-02,Cash Flow,People,4365,4105.87,finance_2026_02.csv
TXN-00228,2026-02-16,2026-02,Cash Flow,Operations,-3852,-3738.57,finance_2026_02.csv
TXN-00229,2026-02-23,2026-02,Cash Flow,Technology,-1040,-1127.71,finance_2026_02.csv
TXN-00230,2026-02-15,2026-02,Cash Flow,Operations,-2693,-2920.96,finance_2026_02.csv
TXN-00231,2026-02-07,2026-02,Cash Flow,People,-2406,-2170.42,finance_2026_02.csv
TXN-00232,2026-02-28,2026-02,Cash Flow,Sales & Marketing,4554,4104.17,finance_2026_02.csv
TXN-00233,2026-02-22,2026-02,Cash Flow,Operations,9341,8266.79,finance_2026_02.csv
TXN-00234,2026-02-01,2026-02,Cash Flow,General & Admin,11594,11193.0,finance_2026_02.csv
TXN-00235,2026-02-18,2026-02,Cash Flow,Sales & Marketing,2575,2808.32,finance_2026_02.csv
TXN-00236,2026-02-16,2026-02,Cash Flow,Operations,9294,9284.29,finance_2026_02.csv
TXN-00237,2026-02-22,2026-02,Cash Flow,People,5290,4949.76,finance_2026_02.csv
TXN-00238,2026-02-23,2026-02,Cash Flow,Technology,-1363,-1310.09,finance_2026_02.csv
TXN-00239,2026-02-05,2026-02,Cash Flow,General & Admin,9234,10045.95,finance_2026_02.csv
TXN-00240,2026-02-16,2026-02,Cash Flow,General & Admin,8091,8767.2,finance_2026_02.csv
